Age,Gender,Weight(Kg),Height(cm),Muscle(%),Body Fat(%),Daily Average Calorie Intake,Daily Average Protein Intake(g),Daily Average Fat Intake(g),Daily Average Carb Intake(g),Daily Average Sugar Intake(g),Exercise per week,Waist circumference (cm),Hip circumference (cm)
64,1,76,196,26,15,3207,156,53,117,56,3,84,93
56,1,82,174,39,14,2659,98,52,288,75,6,89,98
22,0,68,150,26,11,2112,189,67,359,28,1,72,90
28,1,85,183,42,18,2800,150,100,300,40,5,88,104
35,0,68,165,35,25,1800,100,60,200,30,3,72,92
42,1,92,178,40,20,2500,140,80,280,50,4,95,106
22,0,55,160,30,20,1600,80,50,180,20,2,68,88
58,1,75,170,38,22,2200,120,70,240,35,3,82,96
28,0,52,150,48,11,2150,50,42,268,22,0,60,78
46,0,52,154,36,18,3202,112,111,391,32,0,74,96
26,1,55,177,38,28,1648,134,106,395,42,6,78,92
29,0,119,153,38,25,2502,120,84,258,57,2,102,120
58,1,96,151,44,22,1686,147,92,387,67,5,100,110
50,1,85,177,37,25,2837,125,47,349,45,7,90,102
52,0,74,174,39,35,2018,77,66,145,26,3,85,108
44,1,51,177,26,27,2518,100,105,175,35,0,76,88
47,1,53,176,29,35,2548,148,109,139,40,1,80,90
38,0,59,194,37,28,2965,168,85,103,56,2,76,104
37,0,70,166,50,32,2792,81,59,314,57,6,80,100
49,0,90,184,39,14,2698,110,61,171,70,0,84,102
20,0,60,196,49,12,1514,170,105,391,30,1,66,86
19,1,111,174,40,11,3445,174,105,354,73,1,96,106
59,1,54,199,31,19,2059,166,113,262,29,6,74,86
39,0,58,199,35,18,2440,87,69,155,34,2,78,98
29,1,78,198,47,35,1606,87,71,177,30,4,88,100
26,0,102,186,30,30,1903,157,49,254,45,2,106,122
61,1,99,155,29,16,2853,74,81,160,53,4,92,100
45,1,81,178,44,31,2269,122,120,299,34,0,96,108
42,0,74,179,27,22,2693,102,44,270,74,0,80,98
18,0,98,168,26,29,2676,93,116,307,75,6,96,118
38,0,55,167,41,12,1886,96,49,315,57,2,64,84
29,1,85,187,38,10,1787,76,44,124,52,2,86,96
22,1,112,184,49,28,3112,55,102,212,61,0,94,104
38,1,74,152,38,30,1829,185,78,207,74,7,84,94
58,0,105,195,48,16,2846,97,102,308,39,1,98,120
54,0,101,177,38,32,3441,166,90,238,75,2,98,118
20,0,71,188,47,20,2579,82,87,208,31,5,70,90
30,0,119,180,35,26,3033,107,45,233,75,7,104,122
23,1,56,160,26,23,2437,124,114,222,32,7,72,84
30,0,77,196,50,28,2796,147,53,198,76,6,82,104
29,1,57,151,40,33,1913,200,84,120,22,5,74,84
64,0,82,192,29,18,2701,137,120,146,50,1,88,108
28,0,102,169,33,28,2735,170,54,265,55,7,98,116
64,1,76,196,26,15,3207,156,53,117,56,3,80,90
56,1,82,174,39,14,2659,98,52,288,75,6,86,96
22,0,68,150,26,11,2112,189,67,359,28,1,70,88
33,0,62,168,38,22,2200,110,75,255,35,4,70,90
25,1,78,175,45,15,2600,130,90,280,50,6,80,94
51,0,72,162,32,28,1750,95,55,210,25,2,82,100
60,1,88,172,36,24,2000,115,65,230,40,3,90,98
20,1,65,180,48,12,2900,160,110,320,60,5,76,92
32,0,58,158,45,15,2050,45,40,275,20,0,68,86
55,1,95,185,42,23,2400,135,85,260,45,4,98,108
27,0,60,163,37,23,1850,105,65,215,30,3,74,94
40,1,70,165,35,25,2350,125,75,260,35,2,84,96
63,0,80,155,30,30,1500,85,45,170,20,1,88,104
36,1,82,188,46,14,3000,170,120,300,70,6,86,98
57,0,65,158,33,27,1950,90,60,205,35,3,76,96
24,0,52,162,28,22,1700,85,55,190,25,2,64,82
49,1,75,170,38,22,2200,120,70,240,35,3,82,96
19,0,63,172,42,18,2100,115,70,245,30,4,70,90
43,1,105,180,41,24,2850,155,105,280,55,5,102,112
34,0,56,156,32,24,1650,90,50,185,20,1,66,84
56,1,84,168,35,25,2100,110,70,230,40,3,86,98
23,0,48,152,25,18,1550,75,45,170,15,0,62,78
41,1,90,175,43,17,2700,145,95,290,60,5,94,104
53,0,78,168,34,26,1800,100,60,200,30,2,86,106
28,1,85,183,42,18,2800,150,100,300,40,5,88,104
35,0,68,165,35,25,1800,100,60,200,30,3,72,92
42,1,92,178,40,20,2500,140,80,280,50,4,95,106
22,0,55,160,30,20,1600,80,50,180,20,2,68,88
58,1,75,170,38,22,2200,120,70,240,35,3,82,96
28,0,52,150,48,11,2150,50,42,268,22,0,60,78
46,0,52,154,36,18,3202,112,111,391,32,0,74,96
26,1,55,177,38,28,1648,134,106,395,42,6,78,92
29,0,119,153,38,25,2502,120,84,258,57,2,102,120
58,1,96,151,44,22,1686,147,92,387,67,5,100,110
50,1,85,177,37,25,2837,125,47,349,45,7,90,102
52,0,74,174,39,35,2018,77,66,145,26,3,85,108
44,1,51,177,26,27,2518,100,105,175,35,0,76,88
47,1,53,176,29,35,2548,148,109,139,40,1,80,90
38,0,59,194,37,28,2965,168,85,103,56,2,76,104
37,0,70,166,50,32,2792,81,59,314,57,6,80,100
49,0,90,184,39,14,2698,110,61,171,70,0,84,102
20,0,60,196,49,12,1514,170,105,391,30,1,66,86
19,1,111,174,40,11,3445,174,105,354,73,1,96,106
59,1,54,199,31,19,2059,166,113,262,29,6,74,86
39,0,58,199,35,18,2440,87,69,155,34,2,78,98
29,1,78,198,47,35,1606,87,71,177,30,4,88,100
26,0,102,186,30,30,1903,157,49,254,45,2,106,122
61,1,99,155,29,16,2853,74,81,160,53,4,92,100
45,1,81,178,44,31,2269,122,120,299,34,0,96,108
42,0,74,179,27,22,2693,102,44,270,74,0,80,98
18,0,98,168,26,29,2676,93,116,307,75,6,96,118
38,0,55,167,41,12,1886,96,49,315,57,2,64,84
29,1,85,187,38,10,1787,76,44,124,52,2,86,96
22,1,112,184,49,28,3112,55,102,212,61,0,94,104
38,1,74,152,38,30,1829,185,78,207,74,7,84,94
58,0,105,195,48,16,2846,97,102,308,39,1,98,120
54,0,101,177,38,32,3441,166,90,238,75,2,98,118
20,0,71,188,47,20,2579,82,87,208,31,5,70,90
30,0,119,180,35,26,3033,107,45,233,75,7,104,122
23,1,56,160,26,23,2437,124,114,222,32,7,72,84
30,0,77,196,50,28,2796,147,53,198,76,6,82,104
29,1,57,151,40,33,1913,200,84,120,22,5,74,84
64,0,82,192,29,18,2701,137,120,146,50,1,88,108
28,0,102,169,33,28,2735,170,54,265,55,7,98,116
64,1,76,196,26,15,3207,156,53,117,56,3,80,90
56,1,82,174,39,14,2659,98,52,288,75,6,86,96
22,0,68,150,26,11,2112,189,67,359,28,1,70,88
45,0,65,160,32,27,1900,95,65,200,28,3,76,98
39,1,82,178,45,15,2650,145,95,290,55,6,86,100
27,0,58,168,40,18,2100,110,70,250,35,4,68,88
63,1,95,182,38,22,2300,130,80,250,40,3,98,110
24,0,50,155,35,15,1750,85,50,195,25,2,62,80
48,1,102,190,48,12,3200,180,130,340,80,5,106,118
31,0,63,164,37,20,2050,45,40,275,20,0,72,92
52,1,98,185,42,23,2400,135,85,260,45,4,96,106
21,0,58,170,45,15,2600,130,90,280,50,6,70,88
66,1,80,155,30,30,1500,85,45,170,20,1,84,94
38,0,82,188,46,14,3000,170,120,300,70,6,82,96
54,1,65,158,33,27,1950,90,60,205,35,3,74,92
39,1,52,162,28,22,1700,85,55,190,25,2,68,84
18,1,75,170,38,22,2200,120,70,240,35,3,78,90
47,0,63,172,42,18,2100,115,70,245,30,4,72,92
26,1,105,180,41,24,2850,155,105,280,55,5,96,104
59,0,56,156,32,24,1650,90,50,185,20,1,70,90
31,1,84,168,35,25,2100,110,70,230,40,3,82,94
45,0,48,152,25,18,1550,75,45,170,15,0,60,76
25,1,90,175,43,17,2700,145,95,290,60,5,88,98
